entity,instance,name,value,dataset_date,table_name,tag,check,date,category,level
Column,distance,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_distance,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_stay_duration,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_move_duration,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_stay,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_move,ApproxQuantiles-0.5,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_hit,ApproxQuantiles-0.75,3,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_duration_session,ApproxQuantiles-0.75,300,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_volume,ApproxQuantiles-0.75,4879377,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,distance,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,total_distance,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_stay_duration,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,sum_move_duration,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_stay,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,count_move,ApproxQuantiles-0.75,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,msisdn,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,session,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,cell_name,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,site_id,Completeness,0.987878788,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,session_type,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,session_status,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,vehicle_type,Completeness,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,6ixty8eight,Application
Column,*,Size,1023,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,msisdn,CountDistinct,933,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,session,CountDistinct,1023,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,Minimum,1,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_duration_session,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_volume,Minimum,40,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,distance,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_distance,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_stay_duration,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,sum_move_duration,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_stay,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,count_move,Minimum,0,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
Column,total_hit,Maximum,18,1.70203E+12,db_dpi_domain_seq_default,data profiler,null,20231202,CTF VIP Club,Application
